"VADIM_V.SPC"
WL/nm,Abs
347.00,0.3826
346.00,0.3829
345.00,0.3838
344.00,0.3847
343.00,0.3861
342.00,0.3871
341.00,0.3878
340.00,0.3892
339.00,0.3897
338.00,0.3907
337.00,0.3925
336.00,0.3944
335.00,0.3956
334.00,0.3976
333.00,0.3995
332.00,0.4011
331.00,0.4029
330.00,0.4049
329.00,0.4064
328.00,0.4087
327.00,0.4107
326.00,0.4128
325.00,0.4151
324.00,0.4174
323.00,0.4188
322.00,0.4211
321.00,0.4238
320.00,0.4264
319.00,0.4287
318.00,0.4305
317.00,0.4330
316.00,0.4355
315.00,0.4377
314.00,0.4403
313.00,0.4425
312.00,0.4452
311.00,0.4473
310.00,0.4500
309.00,0.4520
308.00,0.4541
307.00,0.4573
306.00,0.4596
305.00,0.4619
304.00,0.4641
303.00,0.4669
302.00,0.4697
301.00,0.4723
300.00,0.4744
